Ticker | Quantity | Average Price | Date Bought
['RH' '0.40142400' '453.3859' '2020-11-25']
['LMND' '4.65003000' '113.8960' '2020-12-04']
['NIO' '2.50000000' '40.0000' '2020-12-12']
['SHOP' '0.08357200' '1196.5730' '2021-01-14']
['TLRY' '5.00000000' '19.3700' '2021-01-20']
['TRCH' '49.79149100' '1.6700' '2021-01-21']
['ABNB' '0.60694300' '175.7002' '2021-01-21']
['ATOS' '14.41992000' '3.4674' '2021-01-26']
['FRPT' '0.34705300' '144.0702' '2021-01-26']
['CRIS' '8.84321800' '11.3081' '2021-01-29']
['FVRR' '0.68145600' '264.1403' '2021-02-04']
['AGTC' '18.18718200' '4.9485' '2021-02-10']
['CRWD' '0.38265300' '235.2000' '2021-02-18']
